workload	keyspace	MOPS
R	1024	0.46
R	2048	0.52
R	4096	0.62
R	8192	0.71
R	16384	0.73
R	32768	0.76
R	65536	0.77
R	131072	0.67
R	262144	0.8
R	524288	0.68
R	1048576	0.62
R	2097152	0.6
R	4194304	0.47
R	8388608	0.96
R	16777216	0.73
M	1024	0.31
M	2048	0.31
M	4096	0.34
M	8192	0.38
M	16384	0.44
M	32768	0.46
M	65536	0.44
M	131072	0.45
M	262144	0.42
M	524288	0.64
M	1048576	0.8
M	2097152	0.86
M	4194304	0.84
M	8388608	0.84
M	16777216	0.81
W	1024	0.3
W	2048	0.28
W	4096	0.28
W	8192	0.28
W	16384	0.29
W	32768	0.33
W	65536	0.34
W	131072	0.31
W	262144	0.3
W	524288	0.32
W	1048576	0.44
W	2097152	0.58
W	4194304	0.51
W	8388608	0.67
W	16777216	0.7
