workload	keyspace	MOPS
R	1024	1
R	2048	1
R	4096	1
R	8192	1
R	16384	1
R	32768	1
R	65536	1
R	131072	1
R	262144	1
R	524288	1
R	1048576	1
R	2097152	1
R	4194304	1
R	8388608	1
R	16777216	1
M	1024	1
M	2048	1
M	4096	1
M	8192	1
M	16384	1
M	32768	1
M	65536	1
M	131072	1
M	262144	1
M	524288	1
M	1048576	1
M	2097152	1
M	4194304	1
M	8388608	1
M	16777216	1
W	1024	1
W	2048	1
W	4096	1
W	8192	1
W	16384	1
W	32768	1
W	65536	1
W	131072	1
W	262144	1
W	524288	1
W	1048576	1
W	2097152	1
W	4194304	1
W	8388608	1
W	16777216	1
