workload	keyspace	MOPS
R	1024	1.07
R	2048	1.13
R	4096	1.21
R	8192	1.28
R	16384	1.17
R	32768	1.12
R	65536	1.09
R	131072	1.04
R	262144	1.07
R	524288	1
R	1048576	0.95
R	2097152	0.94
R	4194304	0.94
R	8388608	1
R	16777216	1.04
M	1024	1.15
M	2048	1.12
M	4096	1.16
M	8192	1.21
M	16384	1.3
M	32768	1.23
M	65536	1.16
M	131072	1.13
M	262144	1.11
M	524288	1.14
M	1048576	1.14
M	2097152	1.1
M	4194304	1.06
M	8388608	1.04
M	16777216	1.04
W	1024	1.39
W	2048	1.33
W	4096	1.31
W	8192	1.29
W	16384	1.32
W	32768	1.39
W	65536	1.33
W	131072	1.22
W	262144	1.19
W	524288	1.2
W	1048576	1.24
W	2097152	1.25
W	4194304	1.2
W	8388608	1.17
W	16777216	1.11
