keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley	2ndBest	castle%	icdcn%	icdcnVsPpop
8192	90-9-1	32	0	0	0	0	0.01	0.01	0	0	0	0	2.86	0.01	0	0.02	0.01	0.38	0.41	0.31	0.62	0.37	0.43	0.45	0.35	0.85	0.47	0.77	1.14	0.76	11.04	1.08	27.54	27.27	16.73	19.61	27.97	28.4	28.4	25.6	30.4	28.4	94.8	94.2	27	80.6	100.4	0.31	0.34	0.24	0.43	0.3	64.79	61.24	75.5	29.79	64.2	4.99	10	3.43	41.35	2.17	78.79	77.22	65.77	68.34	66.61	1.01	0.95	1.18	0.46	1	75.5	-14.19	-18.89	0.81
16384	90-9-1	32	0	0	0	0	0	0.02	0	0	0	0	3.17	0.01	0	0.01	0	0.38	0.36	0.34	0.66	0.39	0.43	0.41	0.4	0.9	0.47	0.77	1.02	0.79	12.28	1.09	18.13	18.12	18.17	17.27	18.14	30.2	30.2	29	32.2	30.2	81.2	81.6	30	58.2	80	0.3	0.29	0.27	0.47	0.32	65.49	67.2	71.15	27.87	61.13	2.43	5.15	2.26	32.9	1.26	76.23	74.59	64.9	68.35	64.72	1.07	1.1	1.16	0.46	1	71.15	-7.96	-5.55	0.94
32768	90-9-1	32	0	0	0	0	0	0.01	0	0	0	0	1.2	0	0	0	0	0.4	0.4	0.37	0.72	0.42	0.44	0.44	0.43	0.96	0.5	0.79	1.06	0.83	34.32	1.11	17.63	17.59	19.62	18.56	17.61	33.4	33.4	31.6	35.4	33.4	58.4	59.6	32.6	40	58.6	0.33	0.33	0.31	0.51	0.35	62.68	62.59	66.22	22.74	58.89	1.62	3.19	1.69	25.65	0.93	74.27	72.96	63.76	62.3	62.95	1.06	1.06	1.12	0.39	1	66.22	-5.35	-5.48	0.95
65536	90-9-1	32	0	0	0	0	0	0.01	0	0	0	0	0.76	0	0	0	0	0.43	0.45	0.43	0.79	0.45	0.48	0.5	0.48	1.02	0.52	0.83	1.11	0.92	30.8	1.14	18.87	18.94	21.02	20.03	18.89	36.2	36.2	34.4	38.2	36.2	42.2	44	35.8	36.6	41.8	0.36	0.38	0.36	0.57	0.38	58.88	56.71	58.91	21.89	55.64	1.32	2.24	1.33	21.73	0.78	72.85	71.24	62.28	66.06	61.52	1.06	1.02	1.06	0.39	1	58.91	-0.05	-3.73	0.96
131072	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0.46	0.52	0.48	0.84	0.48	0.51	0.56	0.54	1.06	0.56	0.84	1.15	0.92	21.59	1.18	20.4	20.41	22.47	21.54	20.39	38.6	38.6	37.6	40.6	38.6	36.8	35.6	38.6	39.6	36.6	0.38	0.44	0.41	0.63	0.41	55.7	50.65	53.48	22.69	52.52	1.15	1.64	1.12	18.08	0.78	71.86	69.2	61.36	71.38	61.85	1.06	0.96	1.02	0.43	1	53.48	4.15	-5.29	0.95
262144	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.49	0.59	0.61	0.85	0.62	0.54	0.63	0.67	1.06	0.7	0.87	1.23	1.04	27.85	1.31	21.91	21.94	23.93	23.06	21.95	41.2	41.2	39.6	43.2	41.2	39.4	38.8	41.2	42	40	0.42	0.51	0.53	0.68	0.55	52.89	45.65	44.09	22.41	42.82	1.09	1.22	3.51	13.37	5.17	71.3	66.7	62.2	68.32	60.72	1.24	1.07	1.03	0.52	1	44.09	19.96	3.54	1.04
524288	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.62	0.72	0.97	1.04	0.94	0.67	0.77	1.05	1.22	1.01	1.02	1.38	1.33	31.25	1.57	23.45	23.47	25.41	24.59	23.51	44.6	44.6	42.4	46.6	44.6	42	42.6	44.8	45.4	42.4	0.55	0.65	0.9	0.92	0.87	43.87	38.24	29.34	20.31	30.03	4.92	2.36	11.69	13.01	14.05	68.57	64.93	57.71	77.52	52.36	1.46	1.27	0.98	0.68	1	30.03	46.09	27.34	1.30
1048576	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	1.09	1.32	1.42	1.26	0.96	1.14	1.37	1.59	1.33	1.33	1.73	1.57	48.37	1.84	25.01	25.04	26.9	26.14	25.07	48.2	48.2	45.4	50.2	48.2	46.4	46.6	47.6	48.4	46.4	0.84	1.02	1.25	1.31	1.18	31.37	26.44	22.22	15.19	23.07	12.91	7.75	18.45	15.96	19.74	60.49	56.63	45.98	73.66	45.27	1.36	1.15	0.96	0.66	1	23.07	35.98	14.61	1.19
2097152	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	1.15	1.53	1.73	1.86	1.6	1.19	1.56	1.8	2.03	1.67	1.49	2.07	1.98	70.26	2.15	26.59	26.63	28.44	27.72	26.64	50.8	50.8	49.4	52.8	50.8	49.8	50.4	51	51.6	49.4	1.08	1.45	1.67	1.74	1.54	25.24	19.48	17.35	12.42	18.53	17.01	12.21	23.73	19.85	24.35	49.28	44.78	37.04	75.13	37.06	1.36	1.05	0.94	0.67	1	18.53	36.21	5.13	1.12
4194304	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45	1.93	2.14	2.32	2.08	1.5	1.97	2.2	2.5	2.14	1.77	2.39	2.29	148.49	2.66	28.11	28.15	29.94	29.26	28.17	54.2	54.2	52	56.2	54.2	52.6	53.6	55.4	56.2	54.2	1.38	1.86	2.08	2.2	2.01	20.44	15.66	14.19	8.12	14.5	20.61	16.37	27.71	24.79	29.21	39.26	36.12	32.14	77.33	33.8	1.41	1.08	0.98	0.56	1	14.5	40.97	8.00	1.10
