keyspace	workload	NumOfThreads	castleL-finalTreeSize	castleL-sRetries	castleL-iRetries	castleL-dRetries	castleL-sTime	castleL-iSeekTime	castleL-iExecTime	castleL-iTotTime	castleL-dSeekTime	castleL-dExecTime	castleL-dTotTime	castleL-avgSeekLen	castleL-initHt	castleL-finalHt	castleL-avgSeekTime	castleL-avgExecutionTime	castleL-MOPS	castle-finalTreeSize	castle-sRetries	castle-iRetries	castle-dRetries	castle-sTime	castle-iSeekTime	castle-iExecTime	castle-iTotTime	castle-dSeekTime	castle-dExecTime	castle-dTotTime	castle-avgSeekLen	castle-initHt	castle-finalHt	castle-avgSeekTime	castle-avgExecutionTime	castle-MOPS	citrusL-finalTreeSize	citrusL-sRetries	citrusL-iRetries	citrusL-dRetries	citrusL-sTime	citrusL-iSeekTime	citrusL-iExecTime	citrusL-iTotTime	citrusL-dSeekTime	citrusL-dExecTime	citrusL-dTotTime	citrusL-avgSeekLen	citrusL-initHt	citrusL-finalHt	citrusL-avgSeekTime	citrusL-avgExecutionTime	citrusL-MOPS	citrus-finalTreeSize	citrus-sRetries	citrus-iRetries	citrus-dRetries	citrus-sTime	citrus-iSeekTime	citrus-iExecTime	citrus-iTotTime	citrus-dSeekTime	citrus-dExecTime	citrus-dTotTime	citrus-avgSeekLen	citrus-initHt	citrus-finalHt	citrus-avgSeekTime	citrus-avgExecutionTime	citrus-MOPS	howleyL-finalTreeSize	howleyL-sRetries	howleyL-iRetries	howleyL-dRetries	howleyL-sTime	howleyL-iSeekTime	howleyL-iExecTime	howleyL-iTotTime	howleyL-dSeekTime	howleyL-dExecTime	howleyL-dTotTime	howleyL-avgSeekLen	howleyL-initHt	howleyL-finalHt	howleyL-avgSeekTime	howleyL-avgExecutionTime	howleyL-MOPS	howley-finalTreeSize	howley-sRetries	howley-iRetries	howley-dRetries	howley-sTime	howley-iSeekTime	howley-iExecTime	howley-iTotTime	howley-dSeekTime	howley-dExecTime	howley-dTotTime	howley-avgSeekLen	howley-initHt	howley-finalHt	howley-avgSeekTime	howley-avgExecutionTime	howley-MOPS
2000	90-9-1	1	1806.4	0	0	0	639.41	0	913.58	913.58	0	1156.84	1156.84	12.12	20.2	20.4	575.51	937.9	0.72	1800.6	0	0	0	641.02	0	688.12	688.12	0	920.35	920.35	12.12	20.2	20.6	576.95	711.33	0.73	1808.8	0	0	0	576.87	0	882.76	882.76	0	1575.91	1575.91	13.11	22.2	22.2	519.21	952.05	0.75	1795.6	0	0	0	587.9	0	709.79	709.79	0	1267.52	1267.52	13.38	23.8	23.2	529.08	765.34	0.75	1805.8	0	0	0	1101.54	0	1220.5	1220.5	0	1806.1	1806.1	12.43	21.8	22.4	991.31	1278.68	0.54	1793.8	0	0	0	614.48	0	801.09	801.09	0	1376.63	1376.63	12.39	21.8	21.6	553	858.4	0.73
2000	90-9-1	30	1801.8	0	0.01	0.03	1233.81	0	1594.18	1594.18	0	2471.94	2471.94	12.36	20.6	30	1110.47	1681.95	14.94	1793.6	0	0.01	0.03	1326.52	0	1435.46	1435.46	0	2298.2	2298.2	12.29	20.8	30.4	1193.9	1521.73	14.74	1797	0	0.02	0.07	777.58	0	1353.13	1353.13	0	6287.2	6287.2	13.65	22.8	35.8	699.83	1846.5	18.58	1810.2	0	0.02	0.07	780.26	0	1253.86	1253.86	0	5950.42	5950.42	13.56	23.8	34.6	702.22	1723.33	18.66	1805	0	0.04	0.03	1265.07	0	1465.82	1465.82	0	2965.13	2965.13	12.22	21.8	30.6	1138.57	1615.76	14.72	1806.4	0.01	0.02	0.02	820.49	0	1076.24	1076.24	0	2607.16	2607.16	12.44	21.8	31.8	738.43	1229.28	18.76
2000	90-9-1	61	1799.6	0	0.02	0.06	1817.11	0	2212.34	2212.34	0	3195.29	3195.29	12.73	20.6	35.8	1635.44	2310.62	24.13	1790	0	0.02	0.06	1642.19	0	1764.75	1764.75	0	2719.57	2719.57	12.78	20.8	34.6	1477.99	1860.24	25.4	1810.2	0	0.05	0.16	943.79	0	1746.47	1746.47	0	9659.78	9659.78	14.93	23	44	849.42	2537.93	33.27	1805.2	0	0.05	0.16	942.71	0	1665.61	1665.61	0	9548.95	9548.95	14.85	23.8	44.8	848.43	2453.66	33.35	1808.2	0	0.09	0.05	1422.42	0	1643.06	1643.06	0	3243.29	3243.29	13.18	21.8	37.2	1280.19	1803.07	27.64	1796.2	0.02	0.03	0.05	979.74	0	1251.23	1251.23	0	2888.79	2888.79	14.01	21.8	40.2	881.75	1414.91	34.53
2000	90-9-1	90	1812.6	0	0.03	0.09	3171.61	0	3632.06	3632.06	0	4781.65	4781.65	12.61	20.6	34	2854.55	3747.03	23.85	1805.4	0	0.01	0.04	5464.58	0	5655.51	5655.51	0	6895.81	6895.81	12.45	20.8	30.8	4918.35	5779.48	14.51	1806	0	0.08	0.25	1115.67	0	2222.17	2222.17	0	14126.35	14126.35	15.67	23	45.6	1004.12	3412.49	40.92	1794.6	0	0.08	0.24	1117.24	0	2059.78	2059.78	0	13134.94	13134.94	15.61	23.8	44.2	1005.5	3167.43	41.12	1803.2	0	0.15	0.07	1683.12	0	1952.94	1952.94	0	3806.3	3806.3	13.96	21.8	41	1514.81	2138.3	34.57	1802.6	0.03	0.05	0.07	1177.3	0	1521.52	1521.52	0	3444.74	3444.74	14.99	21.8	45	1059.56	1713.86	42.85
2000	90-9-1	122	1799	0	0.04	0.13	1787.74	0	2372.46	2372.46	0	3473.45	3473.45	14.1	20.8	42	1609.01	2482.56	44.2	1796.4	0.01	0.04	0.13	1789.41	0	1958.98	1958.98	0	3033.25	3033.25	14.16	20.6	44	1610.51	2066.38	44.67	1804.8	0	0.11	0.35	1275.64	0	2621.66	2621.66	0	17299.83	17299.83	16.27	23.2	47.2	1148.1	4089.29	48.95	1801.2	0	0.11	0.35	1284.79	0	2371.85	2371.85	0	17317.35	17317.35	16.66	23.8	48.8	1156.32	3866.22	49.02	1793.4	0	0.23	0.09	1943.78	0	2266.73	2266.73	0	4413.9	4413.9	14.88	21.8	45.2	1749.41	2481.43	41.34	1808.6	0.05	0.06	0.09	1381.21	0	1808.16	1808.16	0	3976.6	3976.6	16.35	21.8	48.2	1243.09	2024.99	51.04
2000	90-9-1	150	1803	0	0.05	0.15	1909.99	0	2612.86	2612.86	0	3784.31	3784.31	14.67	20.6	45.6	1719.03	2730.01	48.63	1800.4	0.01	0.04	0.13	2105.5	0	2318.86	2318.86	0	3448.27	3448.27	14.29	20.8	42.8	1894.99	2431.81	46.65	1808.4	0	0.13	0.44	1487.89	0	3194.68	3194.68	0	21962.09	21962.09	16.73	23.2	48.4	1339.11	5071.69	50.67	1793.8	0	0.13	0.43	1505.58	0	2893.42	2893.42	0	21302.14	21302.14	16.83	23.8	48.6	1355.04	4733.94	50.78	1801	0	0.3	0.1	2339.25	0	2706.3	2706.3	0	4980.1	4980.1	14.76	21.8	43	2105.35	2933.68	42.63	1800.2	0.06	0.07	0.1	1634.36	0	2122.57	2122.57	0	4554.71	4554.71	16.72	21.8	49	1470.93	2365.76	53.01
2000	90-9-1	183	1800.4	0	0.06	0.17	1788.94	0	2657.72	2657.72	0	3905.86	3905.86	15.75	20.8	47.8	1610.08	2782.55	57.76	1803.2	0.01	0.05	0.15	1932.91	0	2168.88	2168.88	0	3361.68	3361.68	15.59	20.8	46.2	1739.66	2288.16	56.3	1804	0	0.16	0.55	1708.08	0	3736.62	3736.62	0	27172.21	27172.21	17.1	23	50.4	1537.31	6080.5	53.22	1806	0	0.15	0.55	1736.22	0	3339.26	3339.26	0	26599.09	26599.09	17.4	23.8	50.8	1562.63	5664.66	53.36	1802.8	0	0.4	0.11	2844.27	0	3282.45	3282.45	0	5800.42	5800.42	15.56	21.8	45.8	2559.88	3534.23	43.44	1795	0.09	0.08	0.12	1920.18	0	2529.93	2529.93	0	5335.11	5335.11	17.31	21.8	50.4	1728.19	2810.35	55.17
2000	90-9-1	210	1799	0	0.07	0.18	2025.98	0	2996.17	2996.17	0	4322.62	4322.62	15.46	20.6	44	1823.42	3128.88	58.69	1800.4	0.01	0.06	0.17	2297.5	0	2555.94	2555.94	0	3814.36	3814.36	15.18	21	46.4	2067.8	2681.85	55.8	1803.6	0	0.18	0.65	1934.73	0	4277.52	4277.52	0	33282.62	33282.62	17.09	23.2	50.8	1741.28	7179.01	53.18	1803.2	0	0.17	0.65	1921.86	0	3814.24	3814.24	0	31175	31175	16.87	23.8	47	1729.69	6549.72	54.21	1790.8	0	0.47	0.12	3284.55	0	3754.35	3754.35	0	6391.86	6391.86	15.22	21.8	46.8	2956.15	4018.05	43.54	1803.4	0.11	0.09	0.13	2149.19	0	2886.21	2886.21	0	5851.16	5851.16	17.47	21.8	49.4	1934.3	3182.65	56.34
2000	90-9-1	244	1802.2	0	0.07	0.21	2292.08	0	3431.5	3431.5	0	4853.57	4853.57	15.89	20.8	48	2062.9	3573.78	60.23	1798	0.01	0.06	0.17	2772.21	0	3047.3	3047.3	0	4398.84	4398.84	15.58	20.8	47.8	2495.01	3182.51	55.29	1803	0	0.21	0.88	2086.1	0	5268.44	5268.44	0	66869.49	66869.49	15.72	23	47.4	1877.5	11429.53	51.9	1797.2	0	0.2	0.83	2162.5	0	4452.03	4452.03	0	47421.35	47421.35	17.01	23.8	51	1946.26	8749.54	53.95	1798.2	0	0.57	0.13	3828.98	0	4389.3	4389.3	0	7312.84	7312.84	15.13	21.8	45.8	3446.11	4681.68	43.75	1799.2	0.13	0.11	0.14	2494.28	0	3372.52	3372.52	0	6670.53	6670.53	17.41	21.8	50	2244.88	3702.27	56.84
20000	90-9-1	1	17965.4	0	0	0	1136.42	0	1508.37	1508.37	0	1919.24	1919.24	17.11	29.8	30.8	1022.93	1549.45	0.52	17958.2	0	0	0	1134.77	0	1226.47	1226.47	0	1630.61	1630.61	17.11	29.8	30.8	1021.44	1266.89	0.53	17999.8	0	0	0	1480.3	0	1984.87	1984.87	0	3559.18	3559.18	18.14	31.8	32.8	1332.54	2142.05	0.44	18011.2	0	0	0	1501.31	0	1906.15	1906.15	0	3187.06	3187.06	18.58	33.4	34.8	1351.19	2034.08	0.43	18025.4	0	0	0	1943.72	0	2143.73	2143.73	0	3415.72	3415.72	17.6	31.4	32.4	1749.28	2270.66	0.37	18009.2	0	0	0	1323.62	0	1602.98	1602.98	0	2946.67	2946.67	17.55	31.4	32.4	1191.26	1737.17	0.47
