keyspace	workload	NumOfThreads	castleL-finalTreeSize	castleL-sRetries	castleL-iRetries	castleL-dRetries	castleL-sTime	castleL-iSeekTime	castleL-iExecTime	castleL-iTotTime	castleL-dSeekTime	castleL-dExecTime	castleL-dTotTime	castleL-avgSeekLen	castleL-initHt	castleL-finalHt	castleL-avgSeekTime	castleL-avgExecutionTime	castleL-MOPS	castle-finalTreeSize	castle-sRetries	castle-iRetries	castle-dRetries	castle-sTime	castle-iSeekTime	castle-iExecTime	castle-iTotTime	castle-dSeekTime	castle-dExecTime	castle-dTotTime	castle-avgSeekLen	castle-initHt	castle-finalHt	castle-avgSeekTime	castle-avgExecutionTime	castle-MOPS	citrusL-finalTreeSize	citrusL-sRetries	citrusL-iRetries	citrusL-dRetries	citrusL-sTime	citrusL-iSeekTime	citrusL-iExecTime	citrusL-iTotTime	citrusL-dSeekTime	citrusL-dExecTime	citrusL-dTotTime	citrusL-avgSeekLen	citrusL-initHt	citrusL-finalHt	citrusL-avgSeekTime	citrusL-avgExecutionTime	citrusL-MOPS	citrus-finalTreeSize	citrus-sRetries	citrus-iRetries	citrus-dRetries	citrus-sTime	citrus-iSeekTime	citrus-iExecTime	citrus-iTotTime	citrus-dSeekTime	citrus-dExecTime	citrus-dTotTime	citrus-avgSeekLen	citrus-initHt	citrus-finalHt	citrus-avgSeekTime	citrus-avgExecutionTime	citrus-MOPS	howleyL-finalTreeSize	howleyL-sRetries	howleyL-iRetries	howleyL-dRetries	howleyL-sTime	howleyL-iSeekTime	howleyL-iExecTime	howleyL-iTotTime	howleyL-dSeekTime	howleyL-dExecTime	howleyL-dTotTime	howleyL-avgSeekLen	howleyL-initHt	howleyL-finalHt	howleyL-avgSeekTime	howleyL-avgExecutionTime	howleyL-MOPS	howley-finalTreeSize	howley-sRetries	howley-iRetries	howley-dRetries	howley-sTime	howley-iSeekTime	howley-iExecTime	howley-iTotTime	howley-dSeekTime	howley-dExecTime	howley-dTotTime	howley-avgSeekLen	howley-initHt	howley-finalHt	howley-avgSeekTime	howley-avgExecutionTime	howley-MOPS
2000	90-9-1	1	1249.4	0	0	0	605.13	0	960.92	960.92	0	1172.2	1172.2	14.57	22.4	22.4	544.62	982.1	0.78	1251.8	0	0	0	641.69	0	684.92	684.92	0	897.87	897.87	14.57	22.4	22.6	577.52	706.27	0.78	1261.8	0	0	0	563.88	0	898.33	898.33	0	1370.03	1370.03	15.6	24.4	24.8	507.5	945.62	0.8	1257	0	0	0	542.14	0	656.63	656.63	0	1037.38	1037.38	15.38	24.4	24.6	487.88	694.74	0.83	1259.4	0	0	0	1111.5	0	1221.84	1221.84	0	1721.05	1721.05	14.11	22.4	22.4	1000.33	1271.81	0.57	1259.2	0	0	0	597.91	0	797.84	797.84	0	1260.75	1260.75	14.34	22.4	22.8	538.08	844.18	0.79
2000	90-9-1	30	1249.2	0	0.59	2.1	761.38	0	1206.74	1206.74	0	2269.82	2269.82	14.72	22.6	22.2	685.23	1313.07	20.45	1252.8	0.02	0.53	1.64	804.13	0	917.05	917.05	0	1957.12	1957.12	14.73	22.2	22.6	723.71	1021.07	20.32	1254.2	0	1.27	4.03	797.43	0	2145.36	2145.36	0	14130.24	14130.24	15.46	24.2	24.8	717.69	3344.26	17.64	1259.4	0	1.26	4.05	782.89	0	2020.52	2020.52	0	13896.72	13896.72	15.35	24.4	24	704.61	3208.02	17.95	1249.6	0	1.55	0.69	1330.71	0	1553.08	1553.08	0	2866.85	2866.85	14.36	22.4	22.4	1197.66	1684.44	14.88	1252.6	0.44	0.92	0.79	777.22	0	1128.51	1128.51	0	2480.88	2480.88	14.5	22.4	21.8	699.52	1263.74	20.39
2000	90-9-1	61	1254.8	0	1.96	15.56	1093.02	0	1607.99	1607.99	0	3402.18	3402.18	14.7	22.4	22.4	983.71	1787.44	33.67	1253.2	0.07	1.46	8.86	1128.99	0	1293.64	1293.64	0	3007.78	3007.78	14.71	22.2	22.2	1016.09	1465.08	33.64	1246	0	1.78	14.14	866.92	0	6859.53	6859.53	0	145944.85	145944.85	15.02	24.2	24.6	780.22	20780.07	17.4	1251.8	0	1.75	14.31	845	0	6592.95	6592.95	0	147597.65	147597.65	14.99	24.4	24.2	760.5	20685.78	17.56	1256.2	0	4.74	2.03	1855.98	0	2354.99	2354.99	0	3919.86	3919.86	14.3	22.4	22.2	1670.39	2511.47	23.69	1254.6	1.38	2.6	2.66	1192.79	0	2067.8	2067.8	0	3880.71	3880.71	14.62	22.4	22.2	1073.52	2249.04	31.35
2000	90-9-1	90	1251	0	3.12	30.78	1350.13	0	1973.74	1973.74	0	4314.32	4314.32	14.71	22	22.4	1215.11	2207.82	41.42	1260.2	0.12	2.25	17.44	1385.53	0	1612.34	1612.34	0	3902.78	3902.78	14.75	22.2	22.8	1246.97	1841.4	41.57	1251.2	0	1.94	17.87	914.2	0	9710.74	9710.74	0	283549.33	283549.33	14.7	24.8	24.8	822.78	37101.7	17.15	1245.8	0	1.91	18.05	868.53	0	9370.63	9370.63	0	288357.31	288357.31	14.61	24.4	24.2	781.67	37265.07	17.27	1256.6	0.01	8.38	3.43	2514.17	0	3513.83	3513.83	0	5215.75	5215.75	14.28	22.4	22.4	2262.76	3683.94	26.74	1255	2.56	4.82	5.24	1582.63	0	3726.61	3726.61	0	5962.87	5962.87	14.8	22.4	22.6	1424.37	3950.16	35.36
2000	90-9-1	122	1250	0	4.33	53.22	1609.42	0	2324.51	2324.51	0	5252.85	5252.85	14.7	22.4	22.4	1448.48	2617.34	49.03	1254.6	0.17	2.94	28.84	1654.09	0	1960.5	1960.5	0	4969.1	4969.1	14.79	22.2	22.8	1488.68	2261.37	49.08	1244.4	0	2.02	20.09	924.49	0	12256.28	12256.28	0	455356.09	455356.09	14.36	24.6	24.6	832.03	56585.48	16.86	1241.2	0	1.96	20.3	882.42	0	11756.96	11756.96	0	459045.48	459045.48	14.34	24.4	24.2	794.19	56487.88	17.05	1253	0.01	12.61	4.96	3275.83	0	5096.54	5096.54	0	6726.12	6726.12	14.21	22.4	22	2948.27	5259.41	28.66	1252.4	4.19	7.74	8.88	2042.51	0	6678.54	6678.54	0	9288.31	9288.31	15.14	22.4	22.4	1838.27	6939.44	37.07
2000	90-9-1	150	1256	0	4.71	59.07	1817.95	0	2622.75	2622.75	0	5851.5	5851.5	14.69	22.2	22.6	1636.16	2945.59	52.95	1248.8	0.21	3.21	31.57	1873.9	0	2222.41	2222.41	0	5585.34	5585.34	14.85	22.4	22.4	1686.5	2558.76	52.72	1239.6	0	2.03	21.31	947.66	0	13892.77	13892.77	0	614857.11	614857.11	14.43	24.4	24.2	852.89	73999.99	16.62	1231.6	0	1.97	21.36	897.12	0	13580.94	13580.94	0	613539.44	613539.44	14.21	24.4	24.4	807.39	73550.59	16.86	1254.8	0.02	15.36	5.7	3925.46	0	6358.13	6358.13	0	7803.49	7803.49	14.22	22.4	22.2	3532.93	6502.64	29.58	1250.4	5.44	9.73	11.05	2383.45	0	9155.16	9155.16	0	11809.81	11809.81	15.31	22.4	22.2	2145.12	9420.55	37.97
2000	90-9-1	183	1246.2	0	5.06	66.05	2033.9	0	2937.4	2937.4	0	6498.39	6498.39	14.72	22	21.8	1830.51	3293.53	57.81	1254.2	0.25	3.51	35.25	2096.29	0	2484.26	2484.26	0	6306.29	6306.29	14.81	22.2	22.8	1886.66	2866.45	57.35	1241.6	0	2.04	22.25	960.26	0	16723.67	16723.67	0	811397.02	811397.02	14.12	24	24.2	864.23	96176.94	16.28	1240.2	0	1.98	22.43	909.48	0	15774.78	15774.78	0	806232.15	806232.15	14.11	24.4	24.4	818.52	94825.12	16.59	1251.2	0.02	18.8	6.51	4649.69	0	7993.52	7993.52	0	8914.05	8914.05	14.21	22.4	22.2	4184.74	8085.56	30.69	1252	7.08	12.04	13.59	2749.93	0	12557.08	12557.08	0	15469.33	15469.33	15.59	22.4	22.6	2474.97	12848.23	38.98
2000	90-9-1	210	1252	0	5.23	67.55	2212.47	0	3205.96	3205.96	0	6983.25	6983.25	14.69	22.2	23	1991.22	3583.69	60.42	1247.6	0.28	3.68	36.67	2285.47	0	2708.08	2708.08	0	6818.11	6818.11	14.83	22.2	22.2	2056.93	3119.14	59.81	1235.8	0	2.03	22.86	959.52	0	17376.19	17376.19	0	983401.79	983401.79	14.18	24	25.2	863.56	114014.32	16.12	1237.8	0	1.95	22.99	923.67	0	16577.5	16577.5	0	969198	969198	14.1	24.4	24	831.3	111896.65	16.45	1258	0.02	21.05	6.94	5253.38	0	9246.04	9246.04	0	9857.7	9857.7	14.12	22.4	22.2	4728.06	9307.21	31.23	1248.2	8.38	13.59	15.22	3054.51	0	15348.07	15348.07	0	18102.45	18102.45	15.79	22.4	22.4	2749.08	15623.51	39.45
2000	90-9-1	244	1254.6	0	5.75	70.14	2409.87	0	3523.8	3523.8	0	7564.74	7564.74	14.68	22.2	22.8	2168.87	3928	64.09	1250.4	0.32	3.91	38.84	2497.02	0	2981.18	2981.18	0	7467.51	7467.51	14.84	22	22.4	2247.32	3429.88	63.27	1238.2	0	2.01	23.29	971.56	0	20253.99	20253.99	0	1189180.6	1189180.6	14.09	24.2	24.6	874.4	137173.86	15.89	1232.8	0	1.96	23.52	927.05	0	18662.38	18662.38	0	1181365.68	1181365.68	14.13	24.4	24.2	834.34	134988.86	16.18	1256.6	0.02	24.11	7.47	5995.5	0	10991.69	10991.69	0	11002.93	11002.93	14.1	22.4	22	5395.9	10992.81	31.92	1259.2	10.06	15.5	17.27	3379.28	0	19150.42	19150.42	0	21956.48	21956.48	16.04	22.4	22.2	3041.36	19431.06	40.21
20000	90-9-1	1	12105.8	0	0	0	799.11	0	1243.04	1243.04	0	1518.63	1518.63	17.38	31.2	31.6	719.24	1270.63	0.65	12109.6	0	0	0	843.31	0	919.53	919.53	0	1198.06	1198.06	17.38	31.2	31.4	759	947.41	0.65	12143	0	0	0	888.86	0	1353.8	1353.8	0	2302.8	2302.8	18.25	33.2	33.8	800	1448.76	0.6	12154.2	0	0	0	903.07	0	1182.09	1182.09	0	1950.37	1950.37	19.17	34	33.8	812.86	1259.02	0.6	12165.6	0	0	0	1540.85	0	1699.03	1699.03	0	2687.58	2687.58	17.88	32	32.4	1387.04	1797.76	0.44	12152.2	0	0	0	926.79	0	1193.53	1193.53	0	2111.41	2111.41	18.17	32	32	834.21	1285.4	0.59
