k	t
1024																0.64
2048																0.65
4096																0.68
8192																0.71
16384																0.76
32768																0.75
65536																0.84
131072																0.87
262144																0.96
524288																1.21
1048576																1.53
2097152																1.87
4194304																2.16
8388608																2.38
16777216																2.89
1024																0.62
2048																0.62
4096																0.63
8192																0.66
16384																0.69
32768																0.71
65536																0.75
131072																0.8
262144																0.86
524288																1.02
1048576																1.28
2097152																1.6
4194304																1.94
8388608																2.35
16777216																2.85
1024																0.74
2048																0.68
4096																0.67
8192																0.69
16384																0.72
32768																0.75
65536																0.79
131072																0.83
262144																0.88
524288																0.94
1048576																1.14
2097152																1.45
4194304																1.82
8388608																2.22
16777216																2.68





