k	t
1024													0.25
2048													0.27
4096													0.28
8192													0.31
16384													0.36
32768													0.39
65536													0.41
131072													0.46
262144													0.6
524288													0.81
1048576													1.11
2097152													1.51
4194304													2.09
8388608													2.53
16777216													3.21
1024													0.54
2048													0.53
4096													0.56
8192													0.58
16384													0.59
32768													0.61
65536													0.64
131072													0.69
262144													0.72
524288													0.92
1048576													1.19
2097152													1.48
4194304													1.9
8388608													2.42
16777216													2.99
1024													0.87
2048													0.82
4096													0.81
8192													0.8
16384													0.85
32768													0.85
65536													0.86
131072													0.89
262144													0.92
524288													1.02
1048576													1.3
2097152													1.59
4194304													1.97
8388608													2.45
16777216													2.96




