keyspace	workload	threads	searchRestart-castle	searchRestart-icdcn	searchRestart-ppop	searchRestart-citrus	searchRestart-howley	insertRestart-castle	insertRestart-icdcn	insertRestart-ppop	insertRestart-citrus	insertRestart-howley	deleteRestart-castle	deleteRestart-icdcn	deleteRestart-ppop	deleteRestart-citrus	deleteRestart-howley	SearchTime-castle	SearchTime-icdcn	SearchTime-ppop	SearchTime-citrus	SearchTime-howley	InsertTime-castle	InsertTime-icdcn	InsertTime-ppop	InsertTime-citrus	InsertTime-howley	DeleteTime-castle	DeleteTime-icdcn	DeleteTime-ppop	DeleteTime-citrus	DeleteTime-howley	AvgSeekLength-castle	AvgSeekLength-icdcn	AvgSeekLength-ppop	AvgSeekLength-citrus	AvgSeekLength-howley	InitialTreeHt-castle	InitialTreeHt-icdcn	InitialTreeHt-ppop	InitialTreeHt-citrus	InitialTreeHt-howley	FinalTreeHt-castle	FinalTreeHt-icdcn	FinalTreeHt-ppop	FinalTreeHt-citrus	FinalTreeHt-howley	SeekTime-castle	SeekTime-icdcn	SeekTime-ppop	SeekTime-citrus	SeekTime-howley	Mops-castle	Mops-icdcn	Mops-ppop	Mops-citrus	Mops-howley	LLCloadMiss-castle	LLCloadMiss-icdcn	LLCloadMiss-ppop	LLCloadMiss-citrus	LLCloadMiss-howley	LLCstoreMiss-castle	LLCstoreMiss-icdcn	LLCstoreMiss-ppop	LLCstoreMiss-citrus	LLCstoreMiss-howley	MopsRelative-castle	MopsRelative-icdcn	MopsRelative-ppop	MopsRelative-citrus	MopsRelative-howley
8192	90-9-1	32	0.01	0	0	0	0.01	0.17	0	0	0	0	12.59	0.01	0	0.02	0.01	0.32	0.33	0.3	0.6	0.32	0.37	0.38	0.36	0.84	0.39	0.74	1.13	0.78	14.41	1.04	15.09	15.01	16.97	15.89	14.96	28.1	28.1	26	30.1	28.1	42.4	41.6	27.4	31.1	40.5	0.24	0.25	0.24	0.42	0.24	73.63	71.26	76.03	29.47	71.79	5.62	10.13	3.77	39.87	2.32	80.26	77.23	66.35	70.54	67.29	1.03	0.99	1.06	0.41	1.00
16384	90-9-1	32	0	0	0	0	0	0.01	0	0	0	0	8.27	0.01	0	0.01	0	0.35	0.36	0.35	0.66	0.36	0.4	0.41	0.41	0.93	0.43	0.77	1.07	0.82	37.58	1.07	16.34	16.29	18.43	17.44	16.29	30.5	30.5	29	32.5	30.5	32	31.3	30.3	30.6	30.5	0.28	0.29	0.28	0.47	0.28	68.57	66.47	67.8	22.81	66.21	2.99	5.16	2.44	30.79	1.47	77.98	74.59	64.93	69.84	65.42	1.04	1.00	1.02	0.34	1.00
32768	90-9-1	32	0	0	0	0	0	0.03	0	0	0	0	3.09	0	0	0.01	0	0.38	0.43	0.39	0.74	0.39	0.43	0.47	0.45	1.01	0.46	0.78	1.13	0.86	76.18	1.09	17.87	17.89	19.89	19.08	17.85	33.9	33.9	31.7	35.9	33.9	31.9	32	33.3	34.1	31.2	0.3	0.34	0.32	0.53	0.31	64.53	58.66	63.41	17.18	62.91	2.16	3.19	1.8	24.56	1.12	76.41	72.71	63.99	71.85	64.6	1.03	0.93	1.01	0.27	1.00
65536	90-9-1	32	0	0	0	0	0	0.01	0	0	0	0	1.46	0	0	0	0	0.41	0.48	0.44	0.8	0.42	0.46	0.53	0.49	1.05	0.5	0.81	1.17	0.9	95.39	1.15	19.37	19.42	21.33	20.62	19.39	36.8	36.8	34.7	38.8	36.8	34.8	34.9	37.1	37.5	34.6	0.33	0.4	0.36	0.59	0.35	60.96	53.41	57.98	15.2	58.6	1.75	2.21	1.42	19.51	0.92	75.32	70.9	62.8	70.6	62.55	1.04	0.91	0.99	0.26	1.00
131072	90-9-1	32	0	0	0	0	0	0	0	0	0	0	1.02	0	0	0	0	0.44	0.56	0.49	0.83	0.46	0.49	0.61	0.55	1.06	0.54	0.84	1.24	0.97	122.82	1.21	20.9	20.94	22.78	22.13	20.91	39.6	39.6	37.7	41.6	39.6	38.1	38.1	39.7	41	37.8	0.37	0.48	0.41	0.64	0.38	57.83	47.06	52.85	13.67	54.52	1.46	1.61	1.17	14.83	0.87	73.54	68.62	61.74	70.71	62.26	1.06	0.86	0.97	0.25	1.00
262144	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0.48	0.63	0.59	0.85	0.58	0.53	0.68	0.66	1.06	0.66	0.89	1.31	1.07	94.39	1.31	22.41	22.45	24.26	23.61	22.44	42.3	42.3	40.1	44.3	42.3	41.3	41.6	43.3	44.5	41.5	0.4	0.55	0.52	0.7	0.51	54.01	42.89	45.05	16.21	45.35	1.25	1.22	3.07	11.76	4.11	71.96	66.16	62.79	73.08	62.22	1.19	0.95	0.99	0.36	1.00
524288	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.59	0.75	0.92	1.05	0.84	0.64	0.8	0.98	1.25	0.92	1	1.43	1.3	147.51	1.51	23.94	23.97	25.79	25.15	23.99	45.5	45.5	43.5	47.5	45.5	44.7	45.5	46.3	47.4	45.4	0.51	0.68	0.85	0.93	0.76	45.43	36.87	30.74	12.41	33.04	3.2	2.44	10.44	12.91	10.83	70.17	64.68	58.15	78.2	56.64	1.38	1.12	0.93	0.38	1.00
1048576	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	1.07	1.31	1.41	1.15	0.85	1.12	1.36	1.61	1.22	1.22	1.72	1.58	189.76	1.76	25.48	25.52	27.35	26.7	25.55	48.7	48.7	46.6	50.7	48.7	48.5	49.2	49.7	51.2	49.1	0.73	1	1.24	1.29	1.08	35.12	26.91	22.55	9.58	25.01	8.59	7.98	17.29	18.32	16.14	64.59	58.59	48.82	80.46	47.33	1.40	1.08	0.90	0.38	1.00
2097152	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	1.42	1.68	1.81	1.58	1.13	1.46	1.74	2.04	1.65	1.5	1.99	1.88	197	2.15	27.05	27.08	28.87	28.19	27.09	51.3	51.3	50	53.3	51.3	52.2	52.4	53.2	55	52.6	1.01	1.34	1.61	1.69	1.51	26.7	20.82	17.75	8.85	18.7	13.23	13.88	22.51	24.04	22.15	56.07	50.15	41.61	72.15	43.61	1.43	1.11	0.95	0.47	1.00
4194304	90-9-1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46	1.74	2.03	2.25	2.08	1.51	1.78	2.1	2.51	2.17	1.81	2.21	2.17	256.53	2.58	28.51	28.51	30.13	29.57	28.5	54.1	54.1	52.6	56.1	54.1	55.4	55.3	56.6	57.9	55.9	1.38	1.66	1.96	2.12	2	20.27	17.25	14.95	6.7	14.49	18.9	19.28	26.2	29.21	27.6	46.76	43.98	38.59	76.14	43.52	1.40	1.19	1.03	0.46	1.00
